time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst
2024-04-24T18:11:56.126Z,23.9696,122.2944,35.376,5.1,178,50,0.821,0.7,2024-07-02T22:12:15.040Z,"70 km E of Hualien City, Taiwan",earthquake,1.75,4.403,0.066,22
2024-04-24T17:06:49.644Z,23.9331,122.3285,29.786,4.3,27,60,0.819,0.52,2024-07-02T22:12:45.040Z,"73 km E of Hualien City, Taiwan",earthquake,1.96,5.549,0.177,9
2024-04-24T16:59:57.074Z,23.9321,122.3632,25.284,4.6,83,90,0.796,0.75,2024-07-02T22:12:25.040Z,"77 km E of Hualien City, Taiwan",earthquake,3.59,4.903,0.063,24
2024-04-24T07:30:53.251Z,23.7499,121.5972,15.421,4.9,58,45,0.45,0.88,2024-07-02T22:12:18.040Z,"25 km S of Hualien City, Taiwan",earthquake,3.93,4.062,0.057,96
2024-04-24T05:01:20.398Z,24.2207,121.9379,10,4.6,52,78,0.68,0.62,2024-07-02T22:12:25.040Z,"43 km NE of Hualien City, Taiwan",earthquake,3.04,1.845,0.066,22
2024-04-24T03:28:24.863Z,23.6927,121.6318,10,4.3,36,86,0.429,0.77,2024-07-02T22:12:42.040Z,"31 km S of Hualien City, Taiwan",earthquake,2.32,1.336,0.089,12
2024-04-24T01:53:56.456Z,23.946,121.6896,37.534,4.3,48,84,0.658,0.66,2024-07-02T22:12:43.040Z,"9 km ESE of Hualien City, Taiwan",earthquake,3.31,8.411,0.102,27
2024-04-24T01:46:41.045Z,23.9263,121.7222,10,4.1,21,77,0.659,0.97,2024-07-02T22:12:52.040Z,"13 km ESE of Hualien City, Taiwan",earthquake,2.21,1.889,0.174,9
2024-04-23T17:12:14.935Z,23.7521,121.5845,7.499,4,54,87,0.445,0.67,2024-07-02T22:12:54.040Z,"24 km S of Hualien City, Taiwan",earthquake,1.54,4.804,0.069,20
2024-04-23T16:02:21.045Z,24.0379,121.6973,7.397,4.5,132,44,0.694,0.62,2024-07-02T22:12:31.040Z,"11 km NE of Hualien City, Taiwan",earthquake,2.77,3.843,0.062,25
2024-04-23T12:40:51.678Z,23.7144,121.6564,10,4.2,70,38,0.46,0.76,2024-07-02T22:12:48.040Z,"29 km S of Hualien City, Taiwan",earthquake,4.61,1.874,0.083,14
2024-04-23T11:13:42.106Z,23.8485,121.6244,11.202,4.2,50,79,0.544,0.5,2024-07-02T22:12:48.040Z,"14 km S of Hualien City, Taiwan",earthquake,3.45,5.509,0.078,16
2024-04-23T05:08:05.965Z,23.7311,121.6128,10,4.7,36,88,0.444,1.06,2024-07-02T22:12:22.040Z,"27 km S of Hualien City, Taiwan",earthquake,4.88,1.895,0.087,40
2024-04-23T02:27:05.529Z,23.863,121.5598,13.519,4.5,35,85,0.527,0.71,2024-07-02T22:12:34.040Z,"13 km SSW of Hualien City, Taiwan",earthquake,2.49,4.681,0.128,18
2024-04-23T02:23:52.859Z,23.8775,121.5453,28.888,4.8,41,84,0.534,0.72,2024-07-02T22:12:21.040Z,"12 km SSW of Hualien City, Taiwan",earthquake,1.82,5.756,0.109,26
2024-04-23T02:20:59.665Z,23.8243,121.6339,10,5.1,93,63,0.529,0.71,2024-07-02T22:12:15.040Z,"17 km S of Hualien City, Taiwan",earthquake,1.27,1.759,0.089,12
2024-04-23T01:45:45.763Z,23.7806,121.5963,10,4.9,84,80,0.474,0.6,2024-07-02T22:12:18.040Z,"21 km S of Hualien City, Taiwan",earthquake,1.68,1.785,0.098,10
2024-04-23T01:22:43.489Z,23.844,121.5734,10,4.7,83,70,0.516,0.59,2024-07-02T22:12:22.040Z,"15 km SSW of Hualien City, Taiwan",earthquake,3.01,1.841,0.073,57
2024-04-23T01:19:33.257Z,23.821,121.5965,12.455,4.2,58,71,0.507,0.73,2024-07-02T22:12:48.040Z,"17 km S of Hualien City, Taiwan",earthquake,2.91,2.44,0.089,12
2024-04-23T00:55:29.656Z,23.827,121.6141,10.162,4.4,27,86,0.866,0.73,2024-07-02T22:12:39.040Z,"16 km S of Hualien City, Taiwan",earthquake,2.65,5.8,0.143,14
2024-04-23T00:16:29.198Z,23.8561,121.5915,20.575,4.7,53,94,0.535,0.87,2024-07-02T22:12:24.040Z,"13 km S of Hualien City, Taiwan",earthquake,4.5,4.632,0.099,31
2024-04-23T00:15:33.560Z,23.8531,121.6688,15.046,4.8,40,80,0.571,0.75,2024-07-02T22:12:21.040Z,"15 km SSE of Hualien City, Taiwan",earthquake,3.15,4.173,0.113,24
2024-04-23T00:11:02.519Z,23.8813,121.6078,16.257,5,89,70,0.564,0.49,2024-07-02T22:12:17.040Z,"10 km S of Hualien City, Taiwan",earthquake,3.91,4.102,0.072,62
2024-04-23T00:10:09.828Z,23.8754,121.5571,15.411,4.7,44,82,0.537,0.62,2024-07-02T22:12:23.040Z,"12 km SSW of Hualien City, Taiwan",earthquake,2.05,4.664,0.106,27
2024-04-23T00:04:05.246Z,23.7794,121.6664,12,5.8,275,24,0.513,0.72,2024-10-09T09:43:10.185Z,"22 km SSE of Hualien City, Taiwan",earthquake,3.04,1.663,0.065,23
2024-04-23T00:03:49.405Z,23.6965,121.6313,19.858,4.5,52,86,0.431,0.87,2024-07-02T22:12:32.040Z,"31 km S of Hualien City, Taiwan",earthquake,3.5,3.768,0.086,40
2024-04-22T23:38:44.783Z,23.8423,121.6289,12.673,4.4,41,83,0.541,0.77,2024-07-02T22:12:39.040Z,"15 km S of Hualien City, Taiwan",earthquake,4.05,4.33,0.108,25
2024-04-22T23:35:39.546Z,23.8217,121.5739,13.451,4.4,53,79,0.497,0.5,2024-07-02T22:12:36.040Z,"17 km S of Hualien City, Taiwan",earthquake,1.49,4.354,0.071,19
2024-04-22T23:17:08.570Z,23.9213,121.5707,9.607,4.2,26,84,0.58,0.44,2024-07-02T22:12:49.040Z,"7 km SSW of Hualien City, Taiwan",earthquake,1.69,5.338,0.136,15
2024-04-22T23:16:10.481Z,23.7435,121.5655,14.513,4.3,20,107,0.427,1.14,2024-07-02T22:12:47.040Z,"26 km S of Hualien City, Taiwan",earthquake,2.96,5.143,0.201,7
2024-04-22T23:02:43.633Z,23.7163,121.557,9.425,4.5,81,73,0.401,0.58,2024-07-02T22:12:30.040Z,"29 km S of Hualien City, Taiwan",earthquake,3.44,4.13,0.073,18
2024-04-22T22:26:19.863Z,23.7554,121.4764,16.394,4,53,84,0.397,0.53,2024-07-02T22:12:54.040Z,"27 km SSW of Hualien City, Taiwan",earthquake,3.05,3.859,0.069,20
2024-04-22T21:34:46.112Z,23.6898,121.5872,7.408,4.7,36,89,0.398,0.76,2024-07-02T22:12:23.040Z,"31 km S of Hualien City, Taiwan",earthquake,1.83,5.171,0.124,20
2024-04-22T21:31:38.398Z,23.777,121.6532,8.991,5.4,209,35,0.503,0.67,2024-10-09T09:49:08.640Z,"22 km SSE of Hualien City, Taiwan",earthquake,5.76,3.477,0.073,18
2024-04-22T21:26:22.109Z,23.7068,121.5604,10,4.6,30,115,0.395,0.61,2024-07-02T22:12:28.040Z,"30 km S of Hualien City, Taiwan",earthquake,2.51,1.911,0.126,19
2024-04-22T21:24:31.124Z,23.6968,121.6096,8.497,5.1,130,56,0.417,0.53,2024-07-02T22:12:15.040Z,"31 km S of Hualien City, Taiwan",earthquake,5.74,3.76,0.078,16
2024-04-22T21:19:35.721Z,23.7371,121.6109,9.426,5.3,183,44,0.448,0.48,2024-07-02T22:12:12.040Z,"26 km S of Hualien City, Taiwan",earthquake,4.56,3.87,0.063,24
2024-04-22T21:14:46.776Z,23.7256,121.5604,14.522,4.8,118,57,0.41,0.4,2024-07-02T22:12:20.040Z,"28 km S of Hualien City, Taiwan",earthquake,5.88,4.346,0.073,18
2024-04-22T21:11:00.803Z,23.7405,121.5902,11.637,4.9,81,73,0.439,0.62,2024-07-02T22:12:18.040Z,"26 km S of Hualien City, Taiwan",earthquake,3.91,2.782,0.078,16
2024-04-22T21:04:21.907Z,23.6611,121.592,5.83,5.4,223,35,0.38,0.63,2024-10-09T04:59:02.304Z,"35 km S of Hualien City, Taiwan",earthquake,5.92,3.197,0.061,26
2024-04-22T21:01:58.503Z,23.7112,121.5739,10.795,4.5,58,81,0.406,0.62,2024-07-02T22:12:33.040Z,"29 km S of Hualien City, Taiwan",earthquake,3.63,5.116,0.091,36
2024-04-22T20:52:56.381Z,23.774,121.5625,16.114,4.9,58,80,0.451,0.71,2024-07-02T22:12:19.040Z,"22 km S of Hualien City, Taiwan",earthquake,3.6,4.434,0.092,37
2024-04-22T20:49:57.856Z,23.6539,121.6164,17,5.5,115,67,0.392,0.67,2024-10-09T08:29:19.633Z,"35 km S of Hualien City, Taiwan",earthquake,3.79,1.757,0.052,36
2024-04-22T20:07:03.691Z,23.8402,121.5935,21.514,4.3,36,75,0.522,0.77,2024-07-02T22:12:44.040Z,"15 km S of Hualien City, Taiwan",earthquake,4.2,6.041,0.119,20
2024-04-22T20:03:06.819Z,23.7626,121.6869,8.839,5.2,78,81,0.513,0.48,2024-07-02T22:12:14.040Z,"25 km SSE of Hualien City, Taiwan",earthquake,3.26,1.93,0.043,180
2024-04-22T19:34:05.888Z,23.8144,121.5538,15.828,4.9,62,93,0.481,0.73,2024-07-02T22:12:18.040Z,"18 km SSW of Hualien City, Taiwan",earthquake,4.26,4.74,0.054,107
2024-04-22T19:32:01.688Z,23.7833,121.6348,8.548,4.5,43,81,0.497,0.72,2024-07-02T22:12:33.040Z,"21 km S of Hualien City, Taiwan",earthquake,2.78,3.447,0.078,49
2024-04-22T19:28:33.099Z,23.7498,121.509,16.307,4.9,66,80,0.405,0.54,2024-07-02T22:12:18.040Z,"26 km SSW of Hualien City, Taiwan",earthquake,3.44,2.797,0.052,118
2024-04-22T19:25:58.153Z,23.8644,121.6955,11.257,4.6,51,85,0.595,0.89,2024-07-02T22:12:28.040Z,"15 km SE of Hualien City, Taiwan",earthquake,3.15,4.78,0.068,65
2024-04-22T19:19:53.318Z,23.7865,121.6574,8.683,5,78,80,0.513,0.61,2024-07-02T22:12:17.040Z,"21 km SSE of Hualien City, Taiwan",earthquake,3.27,4.229,0.045,155
2024-04-22T19:13:40.398Z,23.8352,121.5874,11.772,4.6,56,79,0.515,0.66,2024-07-02T22:12:25.040Z,"15 km S of Hualien City, Taiwan",earthquake,3.21,4.303,0.068,64
2024-04-22T19:00:15.652Z,23.7966,121.6724,11.867,4.2,36,87,0.529,0.71,2024-07-02T22:12:49.040Z,"21 km SSE of Hualien City, Taiwan",earthquake,2.2,3.182,0.122,19
2024-04-22T18:44:22.698Z,23.8399,121.6026,12.745,4.3,29,99,0.526,0.85,2024-07-02T22:12:44.040Z,"15 km S of Hualien City, Taiwan",earthquake,2.68,4.794,0.154,12
2024-04-22T18:43:23.337Z,23.6958,121.5071,18.778,4.2,28,112,0.358,0.54,2024-07-02T22:12:49.040Z,"32 km SSW of Hualien City, Taiwan",earthquake,2.76,4.778,0.136,15
2024-04-22T18:39:45.339Z,23.7643,121.603,13.111,4.4,37,87,0.464,0.77,2024-07-02T22:12:37.040Z,"23 km S of Hualien City, Taiwan",earthquake,2.69,5.138,0.123,19
2024-04-22T18:32:48.439Z,23.8586,121.5662,10,6.1,120,22,0.526,0.65,2024-07-02T22:12:10.040Z,"13 km SSW of Hualien City, Taiwan",earthquake,2.83,1.821,0.065,23
2024-04-22T18:31:49.658Z,23.81,121.5981,13.015,4.5,21,132,0.499,0.63,2024-07-02T22:12:33.040Z,"18 km S of Hualien City, Taiwan",earthquake,2.15,4.687,0.171,10
2024-04-22T18:31:07.939Z,23.7283,121.6169,10,4.8,51,82,0.445,0.68,2024-07-02T22:12:21.040Z,"27 km S of Hualien City, Taiwan",earthquake,2.75,1.876,0.092,37
2024-04-22T18:26:52.852Z,23.7141,121.6599,9,6.1,119,35,0.462,0.76,2024-07-02T22:12:10.040Z,"29 km S of Hualien City, Taiwan",earthquake,2.91,1.823,0.059,28
2024-04-22T17:41:09.158Z,23.759,121.5045,10,4.3,31,87,0.411,0.56,2024-07-02T22:12:43.040Z,"26 km SSW of Hualien City, Taiwan",earthquake,2.68,1.915,0.132,16
2024-04-22T17:40:24.854Z,23.757,121.5757,13.842,4.4,49,81,0.444,0.76,2024-07-02T22:12:36.040Z,"24 km S of Hualien City, Taiwan",earthquake,2.79,4.322,0.075,17
2024-04-22T16:45:24.620Z,23.7696,121.6489,10,4,52,81,0.495,0.67,2024-07-02T22:12:54.040Z,"23 km S of Hualien City, Taiwan",earthquake,2.86,1.884,0.068,21
2024-04-22T16:33:04.851Z,23.8,121.6418,29.521,4.1,75,80,0.514,0.71,2024-07-02T22:12:51.040Z,"19 km S of Hualien City, Taiwan",earthquake,3.76,4.388,0.063,24
2024-04-22T16:06:30.739Z,23.7223,121.5746,8.641,4.5,49,85,0.415,0.85,2024-07-02T22:12:33.040Z,"28 km S of Hualien City, Taiwan",earthquake,2.16,5.133,0.104,27
2024-04-22T16:01:57.684Z,23.7037,121.6499,6.864,4.6,79,83,0.448,0.64,2024-07-02T22:12:28.040Z,"30 km S of Hualien City, Taiwan",earthquake,6.28,4.725,0.075,54
2024-04-22T16:01:26.693Z,23.7423,121.5726,7.732,4.4,96,95,0.43,0.77,2024-07-02T22:12:37.040Z,"26 km S of Hualien City, Taiwan",earthquake,3.71,4.543,0.068,21
2024-04-22T15:56:44.790Z,23.7402,121.5431,10.478,4.4,80,81,0.413,0.73,2024-07-02T22:12:37.040Z,"26 km SSW of Hualien City, Taiwan",earthquake,3.55,3.239,0.068,21
2024-04-22T14:20:09.372Z,23.716,121.618,8.222,5,63,82,0.436,0.96,2024-07-02T22:12:18.040Z,"28 km S of Hualien City, Taiwan",earthquake,2.79,4.53,0.057,97
2024-04-22T14:11:22.980Z,23.7259,121.5781,8,5.8,121,44,0.42,0.74,2024-10-09T12:01:11.975Z,"27 km S of Hualien City, Taiwan",earthquake,3.45,1.734,0.062,25
2024-04-22T13:42:57.748Z,23.7818,121.6115,14.471,4.5,77,66,0.483,0.74,2024-07-02T22:12:31.040Z,"21 km S of Hualien City, Taiwan",earthquake,3.12,3.272,0.068,21
2024-04-22T13:13:40.535Z,23.6479,121.554,10,5.1,139,74,0.347,0.69,2024-07-02T22:12:15.040Z,"36 km S of Hualien City, Taiwan",earthquake,4.83,1.774,0.071,19
2024-04-22T13:02:23.366Z,23.7424,121.5137,20.568,4.6,30,128,0.406,0.95,2024-07-02T22:12:28.040Z,"27 km SSW of Hualien City, Taiwan",earthquake,3.41,6.022,0.132,17
2024-04-22T13:00:42.776Z,23.6873,121.5815,7.028,4.5,73,80,0.393,0.7,2024-07-02T22:12:31.040Z,"32 km S of Hualien City, Taiwan",earthquake,3.49,4.195,0.068,21
2024-04-22T11:45:35.666Z,23.6672,121.573,10,5.1,62,80,0.373,1,2024-07-02T22:12:16.040Z,"34 km S of Hualien City, Taiwan",earthquake,3.34,1.806,0.051,144
2024-04-22T11:44:00.447Z,23.7275,121.5713,21.887,5,43,94,0.418,0.92,2024-07-02T22:12:17.040Z,"27 km S of Hualien City, Taiwan",earthquake,4.6,4.898,0.063,80
2024-04-22T11:36:39.022Z,23.7276,121.4683,10,4.4,52,98,0.369,0.72,2024-07-02T22:12:39.040Z,"30 km SSW of Hualien City, Taiwan",earthquake,6.06,1.895,0.086,39
2024-04-22T11:34:37.074Z,23.6047,121.6214,10,5.2,53,81,0.365,1.12,2024-07-02T22:12:14.040Z,"41 km S of Hualien City, Taiwan",earthquake,4.95,1.842,0.058,99
2024-04-22T11:34:28.666Z,23.6965,121.6096,10,4.7,115,85,0.417,0.91,2024-07-02T22:12:25.040Z,"31 km S of Hualien City, Taiwan",earthquake,7.45,1.858,0.071,89
2024-04-22T11:32:21.061Z,23.7438,121.4487,10,4.4,32,94,0.376,1.19,2024-07-02T22:12:39.040Z,"30 km SSW of Hualien City, Taiwan",earthquake,5.93,1.074,0.12,22
2024-04-22T11:27:50.022Z,23.7058,121.7675,10,4.5,53,95,6.662,0.83,2024-07-02T22:12:33.040Z,"34 km SSE of Hualien City, Taiwan",earthquake,8.11,1.867,0.088,39
2024-04-22T11:25:56.268Z,23.6617,121.5571,10,5,55,81,0.567,0.84,2024-07-02T22:12:17.040Z,"35 km S of Hualien City, Taiwan",earthquake,6.55,1.846,0.052,117
2024-04-22T11:25:14.156Z,23.5936,121.5741,10,4.8,69,72,0.324,0.98,2024-07-02T22:12:22.040Z,"42 km S of Hualien City, Taiwan",earthquake,3.62,1.49,0.048,135
2024-04-22T11:22:06.826Z,23.7178,121.6017,8.139,4.8,62,84,0.428,0.89,2024-07-02T22:12:21.040Z,"28 km S of Hualien City, Taiwan",earthquake,5.07,4.136,0.058,93
2024-04-22T11:13:11.313Z,23.7355,121.6162,10,5.1,74,65,0.45,0.93,2024-07-02T22:12:16.040Z,"26 km S of Hualien City, Taiwan",earthquake,3.99,1.436,0.044,169
2024-04-22T11:10:13.508Z,23.7036,121.5896,10,4.8,51,90,0.41,1.01,2024-07-02T22:12:22.040Z,"30 km S of Hualien City, Taiwan",earthquake,2.99,1.848,0.06,99
2024-04-22T10:55:24.204Z,23.7466,121.5724,10,4.6,38,72,0.434,0.7,2024-07-02T22:12:27.040Z,"25 km S of Hualien City, Taiwan",earthquake,2.15,1.814,0.151,16
2024-04-22T10:50:30.590Z,23.7053,121.6282,10,5.6,97,35,0.435,0.87,2024-10-09T07:40:26.744Z,"30 km S of Hualien City, Taiwan",earthquake,4.25,1.717,0.052,36
2024-04-22T10:49:06.722Z,23.7229,121.6381,10,5,53,73,0.454,1.27,2024-10-09T09:08:42.625Z,"28 km S of Hualien City, Taiwan",earthquake,3.57,1.626,0.088,41
2024-04-22T10:46:21.461Z,23.6225,121.6563,10,5.3,95,60,0.664,0.84,2024-07-02T22:12:13.040Z,"39 km S of Hualien City, Taiwan",earthquake,3.74,1.805,0.06,27
2024-04-22T10:46:10.703Z,23.7276,121.58,10,4.7,55,65,0.423,0.87,2024-07-02T22:12:25.040Z,"27 km S of Hualien City, Taiwan",earthquake,2.5,1.874,0.059,104
2024-04-22T10:08:06.832Z,23.7212,121.5745,10,4.1,43,81,0.415,0.92,2024-07-02T22:12:52.040Z,"28 km S of Hualien City, Taiwan",earthquake,3.51,1.812,0.08,15
2024-04-22T09:52:55.346Z,23.711,121.6326,17.783,4.8,81,80,0.442,0.91,2024-07-02T22:12:20.040Z,"29 km S of Hualien City, Taiwan",earthquake,3.04,4.017,0.071,19
2024-04-22T09:17:09.152Z,23.7054,121.6677,10,4.9,51,88,0.461,0.95,2024-07-02T22:12:19.040Z,"30 km SSE of Hualien City, Taiwan",earthquake,4.27,1.825,0.102,32
2024-04-22T09:16:01.385Z,23.8125,121.4665,27.828,5.2,66,79,0.47,1.01,2024-07-02T22:12:14.040Z,"23 km SW of Hualien City, Taiwan",earthquake,2.08,4.628,0.044,171
2024-04-22T09:12:10.590Z,23.808,121.5579,10,5.1,88,55,0.478,1.01,2024-07-02T22:12:16.040Z,"19 km SSW of Hualien City, Taiwan",earthquake,3.43,1.421,0.046,153
2024-04-22T09:08:39.851Z,23.6939,121.5925,16.265,5.2,106,56,0.404,0.82,2024-07-02T22:12:14.040Z,"31 km S of Hualien City, Taiwan",earthquake,3.99,2.123,0.058,29
2024-04-21T18:53:22.861Z,23.909,121.6167,25.424,4.3,72,70,0.592,0.89,2024-06-25T21:03:25.040Z,"7 km S of Hualien City, Taiwan",earthquake,3.46,4.885,0.069,20
2024-04-21T16:35:51.370Z,24.1634,121.6587,32.956,4.7,69,55,0.566,0.73,2024-06-25T21:03:23.040Z,"21 km NNE of Hualien City, Taiwan",earthquake,2.99,4.34,0.061,26
2024-04-21T09:54:19.794Z,23.96,121.7771,33.426,4.2,34,84,0.716,0.55,2024-06-25T21:03:22.040Z,"17 km E of Hualien City, Taiwan",earthquake,2.73,5.74,0.141,14
2024-04-21T03:07:18.959Z,24.1322,121.7049,38.627,4.1,61,79,0.613,0.95,2024-06-25T21:03:19.040Z,"20 km NNE of Hualien City, Taiwan",earthquake,3.71,5.224,0.069,20
2024-04-21T02:40:55.589Z,23.4701,121.631,28.583,5.1,88,64,0.316,1.01,2024-06-25T21:03:19.040Z,"56 km S of Hualien City, Taiwan",earthquake,4.89,1.824,0.086,13
2024-04-20T00:35:11.204Z,24.195,121.9198,16.639,4.4,53,80,0.685,0.52,2024-06-25T21:03:11.040Z,"40 km NE of Hualien City, Taiwan",earthquake,3.69,4.73,0.091,35
2024-04-19T14:25:52.541Z,24.3164,121.7612,26.082,4.2,48,75,0.497,0.72,2024-06-25T21:03:08.040Z,"40 km NNE of Hualien City, Taiwan",earthquake,2.79,4.977,0.075,17
2024-04-18T09:11:57.239Z,23.7095,121.8114,27.816,4.7,46,43,0.568,1.22,2024-06-25T21:02:29.040Z,"36 km SE of Hualien City, Taiwan",earthquake,3.69,3.774,0.104,28
2024-04-17T09:17:10.618Z,23.8715,121.7448,32.186,4.9,108,72,0.629,0.78,2024-06-25T21:02:54.040Z,"18 km SE of Hualien City, Taiwan",earthquake,3.44,4.05,0.093,11
2024-04-16T18:59:48.903Z,24.0589,121.7989,27.269,4.6,62,76,0.72,0.62,2024-06-25T21:02:50.040Z,"21 km ENE of Hualien City, Taiwan",earthquake,4.3,4.76,0.066,22
2024-04-15T18:47:44.262Z,24.0128,121.7621,38.395,4,30,82,0.743,0.62,2024-06-25T21:02:24.040Z,"16 km ENE of Hualien City, Taiwan",earthquake,3.39,7.102,0.06,27
2024-04-13T14:26:35.859Z,23.9735,121.5557,16.123,4.3,35,79,0.581,1.07,2024-06-17T02:15:24.040Z,"4 km W of Hualien City, Taiwan",earthquake,3.54,4.13,0.063,24
2024-04-13T12:38:48.495Z,23.6777,121.6125,10.199,4.3,80,83,0.405,0.77,2024-06-17T02:15:24.040Z,"33 km S of Hualien City, Taiwan",earthquake,2.73,4.761,0.063,24
2024-04-12T18:44:37.485Z,23.409,120.1613,10,4.6,45,82,0.444,1.16,2024-06-17T02:15:17.040Z,"30 km WSW of Pizitou, Taiwan",earthquake,3.16,1.8,0.068,21
2024-04-12T14:19:58.698Z,22.2514,121.6659,12.204,4.6,61,104,0.782,0.66,2024-06-17T02:15:16.040Z,"98 km ENE of Hengchun, Taiwan",earthquake,5.18,4.179,0.067,68
2024-04-10T16:55:12.547Z,24.1477,121.7763,16.962,4.5,57,74,0.635,0.65,2024-06-17T02:15:05.040Z,"25 km NE of Hualien City, Taiwan",earthquake,2.46,3.544,0.069,20
2024-04-10T11:22:58.845Z,24.0398,121.7828,27.129,4.2,43,76,0.729,0.61,2024-06-17T02:15:04.040Z,"19 km ENE of Hualien City, Taiwan",earthquake,2.69,5.765,0.062,25
2024-04-10T09:09:44.994Z,23.8729,121.6845,34.814,4.1,44,79,0.596,0.71,2024-06-17T02:15:03.040Z,"14 km SE of Hualien City, Taiwan",earthquake,3.35,5.307,0.065,23
2024-04-09T21:34:44.693Z,24.074,121.7277,20.41,4.3,47,75,0.674,0.62,2024-06-17T02:15:00.040Z,"16 km NE of Hualien City, Taiwan",earthquake,3.11,5.035,0.063,24
2024-04-09T02:17:00.191Z,24.0705,121.6547,10,4,17,80,0.648,0.64,2024-06-17T02:14:54.040Z,"11 km NNE of Hualien City, Taiwan",earthquake,2.08,1.886,0.258,4
2024-04-09T01:33:12.653Z,23.7339,121.5659,29.814,4.4,37,75,0.42,0.74,2024-06-17T02:14:54.040Z,"27 km S of Hualien City, Taiwan",earthquake,3.54,4.185,0.123,19
2024-04-08T23:26:14.707Z,24.1586,121.6838,35.818,4.1,39,56,0.581,0.52,2024-06-17T02:14:53.040Z,"21 km NNE of Hualien City, Taiwan",earthquake,3.44,1.628,0.06,27
2024-04-08T22:14:06.949Z,23.9542,121.7011,24.417,4.2,67,77,0.671,0.54,2024-06-17T02:14:53.040Z,"10 km ESE of Hualien City, Taiwan",earthquake,3.34,5.047,0.075,17
2024-04-08T18:02:37.198Z,23.8945,121.7042,36.827,4.8,84,71,0.624,0.69,2024-06-17T02:14:52.040Z,"13 km SE of Hualien City, Taiwan",earthquake,3.74,6.944,0.061,26
2024-04-08T08:45:07.651Z,23.9531,121.6388,36.54,4.4,61,81,0.64,0.71,2024-06-17T02:14:50.040Z,"4 km SE of Hualien City, Taiwan",earthquake,2.56,8.448,0.079,46
2024-04-08T05:09:34.200Z,24.1739,121.8555,29.992,4.6,141,64,0.659,0.38,2024-06-17T02:14:49.040Z,"33 km NE of Hualien City, Taiwan",earthquake,3.69,4.301,0.066,22
2024-04-07T22:49:30.435Z,24.2276,121.8501,37.544,4.6,92,62,0.617,0.54,2024-06-12T21:51:56.040Z,"37 km NE of Hualien City, Taiwan",earthquake,3.57,6.244,0.066,68
2024-04-07T19:58:41.174Z,23.8872,121.7073,40.883,4.1,50,85,0.62,0.67,2024-06-12T21:51:56.040Z,"14 km SE of Hualien City, Taiwan",earthquake,3.07,8,0.071,19
2024-04-07T10:24:38.426Z,24.067,121.6777,15.62,4.5,41,66,0.66,0.91,2024-06-12T21:51:56.040Z,"12 km NE of Hualien City, Taiwan",earthquake,2.11,5.079,0.11,24
2024-04-07T10:01:21.679Z,24.1331,122.018,36.772,4.9,122,29,0.792,0.55,2024-06-12T21:51:56.040Z,"45 km ENE of Hualien City, Taiwan",earthquake,2.19,5.146,0.083,14
2024-04-07T05:00:07.657Z,24.0197,121.7264,37.053,4.4,25,82,0.722,0.66,2024-06-12T21:52:00.040Z,"13 km ENE of Hualien City, Taiwan",earthquake,3.28,8.118,0.17,10
2024-04-07T04:43:13.407Z,23.9119,121.6329,24.734,3.9,30,53,0.602,0.71,2024-06-12T21:51:45.040Z,"7 km SSE of Hualien City, Taiwan",earthquake,3.96,5.423,0.066,22
2024-04-07T02:06:00.792Z,24.2268,121.7488,15.977,4.5,41,71,0.557,0.8,2024-06-12T21:51:56.040Z,"31 km NNE of Hualien City, Taiwan",earthquake,3.34,4.626,0.108,25
2024-04-06T21:15:08.953Z,24.008,121.7648,18.865,4.6,70,69,0.748,0.67,2024-06-12T21:51:56.040Z,"16 km ENE of Hualien City, Taiwan",earthquake,3.5,3.929,0.06,27
2024-04-06T15:53:12.455Z,24.2043,121.8332,33.808,4.8,121,40,0.623,0.65,2024-06-12T21:51:55.040Z,"34 km NE of Hualien City, Taiwan",earthquake,2.91,4.324,0.06,27
2024-04-06T15:43:08.940Z,24.2361,121.7536,17.403,4.3,39,117,0.552,0.76,2024-06-12T21:52:00.040Z,"32 km NNE of Hualien City, Taiwan",earthquake,3.03,4.057,0.119,20
2024-04-06T13:17:52.718Z,24.2112,121.7291,17.244,4.3,31,77,0.559,0.98,2024-06-12T21:51:55.040Z,"28 km NNE of Hualien City, Taiwan",earthquake,3.86,4.833,0.078,16
2024-04-06T10:47:12.076Z,23.86,121.6946,29.453,5.2,66,72,0.591,0.79,2024-06-12T21:51:55.040Z,"15 km SE of Hualien City, Taiwan",earthquake,3.59,3.595,0.057,30
2024-04-06T08:10:24.695Z,23.784,121.6221,7.924,4.1,37,81,0.491,0.71,2024-06-12T21:51:55.040Z,"21 km S of Hualien City, Taiwan",earthquake,2.81,5.092,0.073,18
2024-04-06T06:52:33.074Z,23.8323,121.6142,29.682,4,35,80,0.526,0.75,2024-06-12T21:52:00.040Z,"16 km S of Hualien City, Taiwan",earthquake,3.27,5.286,0.066,22
2024-04-06T06:02:19.022Z,23.9012,121.7862,22.398,4.3,46,87,0.676,0.54,2024-06-12T21:51:55.040Z,"20 km ESE of Hualien City, Taiwan",earthquake,4.06,3.63,0.065,23
2024-04-06T03:52:54.827Z,24.1544,121.7326,26.385,4.7,78,56,0.607,0.94,2024-06-12T21:51:55.040Z,"23 km NNE of Hualien City, Taiwan",earthquake,3.51,4.392,0.062,25
