time,latitude,longitude,depth,mag,nst,gap,dmin,rms,updated,place,type,horizontalError,depthError,magError,magNst
2024-09-11T13:41:10.068Z,23.8207,121.6667,45.444,4.5,71,71,0.545,0.49,2024-11-21T22:58:55.040Z,"18 km SSE of Hualien City, Taiwan",earthquake,4.99,6.781,0.073,18
2024-09-09T13:18:56.926Z,22.4765,121.8187,10,4.4,27,97,0.762,0.59,2024-11-21T22:58:52.040Z,"122 km ENE of Hengchun, Taiwan",earthquake,3.04,1.758,0.169,11
2024-09-07T05:16:51.044Z,23.9108,121.7254,24.963,4.9,94,69,0.288,0.68,2024-11-15T16:20:02.040Z,"14 km ESE of Hualien City, Taiwan",earthquake,2.93,4.495,0.083,14
2024-09-06T21:28:02.517Z,24.2308,121.8129,56.799,4.3,32,77,0.207,0.66,2024-11-15T16:20:12.040Z,"35 km NE of Hualien City, Taiwan",earthquake,4.23,5.214,0.129,17
2024-09-02T08:26:25.393Z,23.861,121.669,37.627,5,89,71,0.319,0.64,2024-11-15T16:19:47.040Z,"14 km SSE of Hualien City, Taiwan",earthquake,4.43,5.209,0.086,13
2024-08-31T18:21:42.072Z,23.8035,121.6994,24.514,4.5,151,31,0.381,0.87,2024-11-09T21:18:57.040Z,"21 km SSE of Hualien City, Taiwan",earthquake,2.7,4.063,0.066,22
2024-08-28T20:14:52.391Z,24.119,121.6682,31.313,4.4,87,64,0.087,0.7,2024-11-09T21:18:37.040Z,"17 km NNE of Hualien City, Taiwan",earthquake,4.35,4.238,0.06,27
2024-08-26T15:28:51.797Z,24.149,122.2875,23.568,4.3,45,42,0.633,0.79,2024-11-09T21:18:23.040Z,"72 km ENE of Hualien City, Taiwan",earthquake,3.71,4.488,0.06,27
2024-08-22T07:37:39.798Z,23.9621,122.2974,24.054,4,25,73,0.676,0.54,2024-11-02T21:28:45.040Z,"70 km E of Hualien City, Taiwan",earthquake,2.83,6.024,0.071,19
2024-08-20T18:53:10.909Z,24.1564,121.8591,10,4.2,35,72,0.242,0.6,2024-11-02T21:28:32.040Z,"32 km NE of Hualien City, Taiwan",earthquake,1.52,1.884,0.071,19
2024-08-17T13:10:11.661Z,24.39,121.9264,10,4.7,43,43,0.371,0.64,2024-10-26T15:49:15.040Z,"44 km SSE of Yilan, Taiwan",earthquake,2.78,1.53,0.11,8
2024-08-16T22:19:28.627Z,23.8229,121.5016,18.529,4.3,78,71,0.36,0.6,2024-10-26T15:49:05.040Z,"20 km SSW of Hualien City, Taiwan",earthquake,3.06,1.893,0.06,27
2024-08-16T20:41:27.477Z,23.7699,121.6902,17.703,4,31,65,0.411,0.63,2024-10-26T15:49:04.040Z,"24 km SSE of Hualien City, Taiwan",earthquake,1.82,4.314,0.086,13
2024-08-15T23:40:28.452Z,23.7078,121.8622,10,4.7,24,99,0.525,0.84,2024-10-26T15:48:16.040Z,"39 km SE of Hualien City, Taiwan",earthquake,2.7,1.323,0.159,12
2024-08-15T23:35:53.943Z,23.7491,121.7669,14,6.1,146,17,0.451,0.61,2024-10-26T15:48:52.040Z,"30 km SSE of Hualien City, Taiwan",earthquake,3.34,1.036,0.045,48
2024-08-15T09:33:04.654Z,24.4105,121.881,11.962,4.5,44,57,0.352,0.98,2024-10-26T15:48:39.040Z,"40 km SSE of Yilan, Taiwan",earthquake,3.11,1.262,0.119,21
2024-08-15T09:06:45.671Z,24.3711,121.9259,11.548,5.4,110,34,0.36,0.78,2024-10-26T15:48:39.040Z,"46 km SSE of Yilan, Taiwan",earthquake,4.54,2.838,0.065,23
2024-08-14T11:22:56.440Z,23.1907,122.0335,11.979,4.3,20,104,0.706,0.94,2024-10-26T15:47:51.040Z,"97 km SSE of Hualien City, Taiwan",earthquake,2.83,5.342,0.202,7
2024-08-08T09:36:17.554Z,24.0295,121.6772,30.743,4.4,34,79,0.162,0.75,2024-10-24T17:58:23.040Z,"9 km NE of Hualien City, Taiwan",earthquake,3.45,5.539,0.123,19
2024-07-26T13:49:09.949Z,22.8139,120.6606,20.413,4,53,135,0.387,0.77,2024-10-08T21:49:12.005Z,"40 km SSE of Yujing, Taiwan",earthquake,2.89,5.016,0.098,10
2024-07-26T08:20:53.988Z,24.0175,121.9321,31.153,4,25,83,0.345,0.88,2024-10-08T21:49:14.005Z,"33 km E of Hualien City, Taiwan",earthquake,4.78,5.898,0.08,15
2024-07-26T02:23:59.260Z,24.0747,121.6687,41.748,4.3,44,71,0.12,0.93,2024-10-08T21:49:12.005Z,"12 km NNE of Hualien City, Taiwan",earthquake,4.94,4.728,0.086,13
